,ID,Accuracy,Time Taken (s),Energy Used (J),Equivalent CO2 Emission (mg)
0,SEL-0000,89.75,138,465.7000000000001,109.95694444444446
1,SEL-0001,89.8,61,203.7,48.09583333333333
2,SEL-0002,89.60000000000001,89,321.5,75.90972222222221
3,SEL-0003,89.85,118,396.2000000000001,93.54722222222225
4,SEL-0004,89.45,21,71.8,16.952777777777776
5,SEL-0005,89.9,101,345.70000000000005,81.62361111111112
6,SEL-0006,89.64999999999999,40,134.8,31.82777777777778
7,SEL-0007,89.60000000000001,154,515.9000000000001,121.80972222222223
8,SEL-0008,89.7,65,221.69999999999996,52.34583333333332
9,SEL-0009,89.75,46,157.29999999999993,37.14027777777776
10,SEL-0010,89.75,84,280.5999999999999,66.25277777777775
11,SEL-0011,89.7,66,224.1,52.91249999999999
12,SEL-0012,89.75,76,256.9999999999999,60.68055555555553
13,SEL-0013,89.64999999999999,15,52.8,12.466666666666669
14,SEL-0014,89.8,29,98.7,23.304166666666667
15,SEL-0015,89.8,57,196.2,46.32499999999999
16,SEL-0016,89.85,116,391.5999999999999,92.46111111111108
17,SEL-0017,89.85,208,703.9000000000003,166.19861111111118
18,SEL-0018,89.75,26,91.2,21.53333333333333
19,SEL-0019,89.85,98,328.8,77.63333333333334
20,SEL-0020,89.75,12,41.2,9.727777777777776
21,SEL-0021,89.64999999999999,94,320.29999999999984,75.62638888888885
22,SEL-0022,89.5,117,398.50000000000017,94.0902777777778
23,SEL-0023,89.45,201,684.6000000000001,161.6416666666667
24,SEL-0024,89.8,59,199.3999999999999,47.08055555555553
25,SEL-0025,89.55,196,660.3000000000006,155.9041666666668
26,SEL-0026,89.7,189,639.0000000000005,150.8750000000001
27,SEL-0027,89.60000000000001,204,689.5000000000009,162.7986111111113
28,SEL-0028,89.75,55,184.29999999999995,43.51527777777776
29,SEL-0029,89.8,89,300.79999999999984,71.02222222222218
30,SEL-0030,89.9,33,114.1,26.940277777777776
31,SEL-0031,89.75,34,112.79999999999998,26.63333333333333
32,SEL-0032,89.7,32,109.1,25.759722222222223
33,SEL-0033,89.85,187,633.7000000000002,149.62361111111113
34,SEL-0034,89.75,299,1008.7000000000014,238.1652777777781
35,SEL-0035,89.60000000000001,53,179.99999999999994,42.49999999999999
36,SEL-0036,89.9,122,413.40000000000026,97.6083333333334
37,SEL-0037,89.64999999999999,77,259.99999999999983,61.38888888888885
38,SEL-0038,89.85,127,430.70000000000016,101.6930555555556
39,SEL-0039,89.64999999999999,25,83.2,19.64444444444445
40,SEL-0040,89.8,161,578.4000000000004,136.56666666666678
41,SEL-0041,89.75,99,338.1,79.82916666666667
42,SEL-0042,89.9,85,286.69999999999993,67.69305555555553
43,SEL-0043,89.85,72,240.39999999999995,56.7611111111111
44,SEL-0044,89.7,44,149.99999999999997,35.41666666666666
45,SEL-0045,89.60000000000001,8,26.100000000000005,6.162500000000001
46,SEL-0046,89.64999999999999,63,215.4,50.85833333333333
47,SEL-0047,89.75,241,813.3000000000006,192.0291666666668
48,SEL-0048,89.85,134,451.2000000000001,106.53333333333336
49,SEL-0049,89.85,10,36.50000000000001,8.618055555555557
50,SEL-0050,89.60000000000001,87,294.29999999999995,69.48749999999998
51,SEL-0051,89.7,76,256.29999999999995,60.51527777777777
52,SEL-0052,89.8,106,362.0,85.47222222222221
53,SEL-0053,89.7,65,219.6,51.84999999999999
54,SEL-0054,89.7,55,186.9,44.12916666666667
55,SEL-0055,89.8,8,26.700000000000003,6.304166666666667
56,SEL-0056,89.85,23,80.6,19.030555555555555
57,SEL-0057,89.75,123,417.60000000000014,98.60000000000002
58,SEL-0058,89.75,35,119.1,28.12083333333333
59,SEL-0059,89.60000000000001,34,114.90000000000003,27.129166666666677
60,SEL-0060,89.7,7,24.500000000000004,5.784722222222223
61,SEL-0061,89.75,116,394.1,93.0513888888889
62,SEL-0062,89.5,20,68.80000000000001,16.244444444444447
63,SEL-0063,89.7,71,240.89999999999995,56.879166666666656
64,SEL-0064,89.60000000000001,17,59.89999999999999,14.143055555555554
65,SEL-0065,89.85,97,330.8000000000001,78.10555555555558
66,SEL-0066,89.60000000000001,211,716.6000000000008,169.19722222222242
67,SEL-0067,89.7,189,639.4000000000003,150.96944444444452
68,SEL-0068,89.85,251,849.4000000000009,200.552777777778
69,SEL-0069,89.55,53,178.09999999999994,42.05138888888887
70,SEL-0070,89.60000000000001,14,47.50000000000001,11.21527777777778
71,SEL-0071,89.75,53,179.39999999999992,42.35833333333331
72,SEL-0072,89.75,24,80.30000000000003,18.95972222222223
73,SEL-0073,89.75,47,160.49999999999994,37.89583333333332
74,SEL-0074,89.75,83,280.99999999999994,66.3472222222222
75,SEL-0075,89.8,131,446.0000000000003,105.3055555555556
76,SEL-0076,89.8,25,86.2,20.352777777777774
77,SEL-0077,89.64999999999999,38,132.9,31.379166666666663
78,SEL-0078,89.85,95,322.4,76.12222222222222
79,SEL-0079,89.75,149,501.7000000000002,118.45694444444447
80,SEL-0080,89.64999999999999,51,171.3,40.44583333333333
81,SEL-0081,89.55,91,308.1,72.74583333333334
82,SEL-0082,89.64999999999999,127,430.1,101.5513888888889
83,SEL-0083,89.64999999999999,269,934.900000000001,220.740277777778
84,SEL-0084,89.85,39,134.0,31.63888888888889
85,SEL-0085,89.8,20,68.10000000000001,16.07916666666667
86,SEL-0086,89.64999999999999,36,124.0,29.27777777777778
87,SEL-0087,89.64999999999999,174,586.4000000000005,138.4555555555557
88,SEL-0088,89.85,114,389.7999999999998,92.03611111111104
89,SEL-0089,89.8,136,460.90000000000015,108.82361111111116
90,SEL-0090,89.7,265,894.1000000000013,211.10694444444476
91,SEL-0091,89.75,71,240.89999999999992,56.87916666666665
92,SEL-0092,89.75,25,85.00000000000001,20.069444444444446
93,SEL-0093,89.55,171,577.6000000000003,136.37777777777782
94,SEL-0094,89.85,203,686.8000000000002,162.16111111111115
95,SEL-0095,89.8,351,1187.7000000000014,280.429166666667
96,SEL-0096,89.75,145,493.30000000000007,116.47361111111113
97,SEL-0097,89.75,73,248.4999999999999,58.673611111111086
98,SEL-0098,89.75,67,230.99999999999997,54.54166666666665
99,SEL-0099,89.8,90,301.9999999999999,71.30555555555553
